Date/Time,Environment:Site Outdoor Air Drybulb Temperature [C](Hourly),BLOCK BALCONY_F1 STOREY 0:Zone Mean Air Temperature [C](Hourly),BLOCK ROOM_3_F1 STOREY 0:Zone Mean Air Temperature [C](Hourly),BLOCK LIVING_1_F1 STOREY 0:Zone Mean Air Temperature [C](Hourly),BLOCK ROOM_1_F1 STOREY 0:Zone Mean Air Temperature [C](Hourly),BLOCK ROOM_2_F1 STOREY 0:Zone Mean Air Temperature [C](Hourly),BLOCK STORAGE_F1 STOREY 0:Zone Mean Air Temperature [C](Hourly),BLOCK LIVING_2_F1 STOREY 0:Zone Mean Air Temperature [C](Hourly),BLOCK BATHROOM_F1 STOREY 0:Zone Mean Air Temperature [C](Hourly),HOT WATER LOOP:Plant Supply Side Heating Demand Rate [W](Hourly) 
 01/01  01:00:00,-4.7,9.39422802742627,18.668155740704856,18.700957051300784,18.55122941590394,18.64297211012395,10.538005158503568,18.60427753026222,10.44014049471729,2492.529526468647 
 01/01  02:00:00,-5.3,8.398250651978755,18.66170405283756,18.676694063131614,19.34601698310709,18.628363202816776,10.398958525042561,18.60248080045424,10.351487457007208,2317.712062936923 
 01/01  03:00:00,-5.7,7.598570028582252,18.62196904403372,18.651309951621223,19.021760265851265,18.612379145166338,10.286209391028372,18.578812640202825,10.286591723055981,1971.608073126893 
 01/01  04:00:00,-6.1,6.871015099448729,18.60518489189654,18.632926447695348,18.315924269896489,18.59414024572601,10.158358715372782,18.571616907893515,10.20018355488932,2902.5145060219616 
 01/01  05:00:00,-6.5,6.231979422104116,18.58746549047295,18.610133259432279,18.658033245271775,18.580387554662253,10.031128874732442,18.559654939350474,10.111200122124714,2978.923960249478 
 01/01  06:00:00,-6.8,5.645327570280475,18.57814790087418,18.594737525898393,19.7619351369773,18.574760015170257,9.879757620515685,18.553820547351447,9.97932021428812,2641.1596328079027 
 01/01  07:00:00,-6.6,5.207002472316805,18.5617874135839,18.587883589952918,19.290518434360199,18.563006822344009,9.772115042180051,18.543920218043327,9.901142155756365,2217.4481874028656 
 01/01  08:00:00,-6.6,4.871564242027673,20.749560366033216,21.072975377975074,21.015069009874709,20.588345520145006,9.641186402229412,20.56459705536308,9.78908783211451,9319.824815893255 
 01/01  09:00:00,-6.6,5.187071885583865,22.168285859682937,22.025258350362159,22.366200505350638,22.048037033269247,9.56149674362607,22.022446199984917,9.680943534482772,3763.259085556585 
 01/01  10:00:00,-5.0,8.997273402129423,22.760489995566624,22.227277653084383,23.47716447354817,22.619033942895283,9.616621637592333,22.17961917158308,9.681909260782643,2474.3754038411407 
 01/01  11:00:00,-3.3,14.714007460282267,23.31222340900658,22.36749754173009,24.093927254852909,22.57742185693193,9.753546389567376,22.251867600075238,9.735331218462126,1926.8721333065782 
 01/01  12:00:00,-1.7,20.759139913071949,24.176307064115176,22.485957863843486,24.641789484029464,22.35222221197717,9.910370867998502,22.274871886337765,9.817343974647397,1941.719979228135 
 01/01  13:00:00,-0.9,26.024365724861548,25.171943045811635,22.56685575462965,25.655442713638075,22.43286410888671,10.089815598365194,22.305940575105404,9.921222813897455,1777.1937828406074 
 01/01  14:00:00,-0.2,29.68355731461395,26.017134297182098,22.64108044790055,26.55472915671007,22.41272922216169,10.284403165389554,22.326369428540028,10.037231170883045,1693.2160273046882 
 01/01  15:00:00,0.6,31.804165960451987,26.418669610531233,22.697529591488036,27.301246719131457,22.456600434954628,10.502964997518385,22.3512280932167,10.165112724545434,1581.697272616443 
 01/01  16:00:00,0.0,30.226400287425905,25.44872121407964,22.661272519311603,26.34896345763351,22.466683767762264,10.715542799022764,22.357438556340996,10.290283161444246,1602.6823150452385 
 01/01  17:00:00,-0.6,25.138632373042517,23.64597103535298,22.623740554421255,23.683901177321578,22.433767810151058,10.865851165434267,22.333134195431577,10.397025954675258,1705.6144076224427 
 01/01  18:00:00,-1.2,20.850156117486625,22.042184993177874,22.01263107685387,21.336994865815293,21.584041857454655,10.950180422556637,21.332195654890147,10.482213417428178,0.0 
 01/01  19:00:00,-1.3,18.778469117682254,20.909154781788723,21.19223183421817,19.915428661533278,20.482673149775505,10.997851640119638,19.969512549123036,10.55388069047936,0.0 
 01/01  20:00:00,-1.5,16.81750581465059,19.871310437260033,20.406815881248489,19.186028516465595,19.48363544271393,11.010206014776547,18.908820790720236,10.609198913467683,304.81854365228966 
 01/01  21:00:00,-1.6,14.679714721419725,18.93799958508265,19.474575173110485,19.387802166541925,19.1085328747355,10.976026179704416,18.614381854758017,10.649685881705063,976.7096380333927 
 01/01  22:00:00,-1.6,13.022378733946429,18.778926670621624,18.818443828820088,19.062111624389848,18.972390607906485,10.901557305528688,18.709061474112525,10.632823008734722,1083.9288083313438 
 01/01  23:00:00,-1.5,11.7163860283426,18.687615142088846,18.73253064771004,19.161744254122529,18.614148248404644,10.804275791166477,18.63597470984041,10.593614473575825,1876.7013004723717 
 01/01  24:00:00,-1.5,10.652968220390495,18.701746704935208,18.727463825058327,18.84909290748267,18.644897364616619,10.69650504485352,18.621167427960907,10.537668685172815,2019.8559714349326 
 01/02  01:00:00,-1.4,9.753393491033222,18.690351473051586,18.705764973799597,19.93640826071239,18.664015183956417,10.58264216488866,18.621149277828736,10.458539276689006,2145.9865377736564 
 01/02  02:00:00,-1.3,9.043464448003544,18.664225957012726,18.680730060746439,19.911976269100685,18.631638771035346,10.503500029158865,18.610496188364789,10.409621296894917,1835.6977349677675 
 01/02  03:00:00,-1.2,8.419535076339895,18.652030476229478,18.66525275115888,18.619935808347035,18.63544400937914,10.428189466992033,18.6039362701789,10.35417042610629,2340.027443891781 
 01/02  04:00:00,-1.1,7.942344578762144,18.645608081454868,18.66114993349111,18.567606111239475,18.633572230209255,10.374284978166385,18.604755988343489,10.315085198468129,2616.31856657182 
 01/02  05:00:00,-0.9,7.52563827828418,18.642966620194643,18.644690773195,18.59510710861767,18.631730887268377,10.31137843105095,18.603717820948739,10.261154105505384,2478.390202372594 
 01/02  06:00:00,-0.8,7.218849947197452,18.634813116264973,18.659592700691144,18.705780856392609,18.628551725008188,10.272628860529086,18.604942864491855,10.238366583220927,2758.5608919113574 
 01/02  07:00:00,-0.3,6.980210585636058,18.644476917492704,19.055128904376678,19.670873145774679,18.63445305146476,10.240221596133523,18.60555467785951,10.223934582418977,2388.7128300257564 
 01/02  08:00:00,0.3,6.919740649915641,20.92821868362269,21.434037542331035,21.935046885227476,20.762178382698708,10.230835405017557,20.743008990070199,10.221381806628079,8136.495795620998 
 01/02  09:00:00,0.8,7.031369388874961,22.33936676997472,22.224591193596586,22.30615450535713,22.154008800278473,10.264801678021993,22.186989593426849,10.245821823434632,4171.50014564092 
 01/02  10:00:00,1.3,7.377416009962699,22.495149531510984,22.338864583454524,22.398474644657875,22.421470450921363,10.374017108644948,22.402541965969275,10.32073902420804,3669.377452944838 
 01/02  11:00:00,1.9,7.981652029120162,22.529595055896594,22.34371753641964,22.461021236800094,22.454525387414308,10.57557246865005,22.442319528042494,10.48205745187092,3248.337154804727 
 01/02  12:00:00,2.4,8.67030619419498,22.447255359408446,22.40702986239878,22.550757170417194,22.40527752734039,10.7881010388427,22.353083334899745,10.636771178432701,3238.847409983356 
 01/02  13:00:00,3.3,9.823413211680018,22.575013324111425,22.46400424152154,22.646281860887144,22.483042501147069,11.073193546874546,22.43233469852395,10.849446770081203,2823.323564046285 
 01/02  14:00:00,4.1,11.423523744345835,22.684618719440765,22.500287056222488,22.71993282947856,22.5376361594684,11.379776324747798,22.487347284047475,11.088048208489637,2492.8887337523565 
 01/02  15:00:00,5.0,13.39701498679788,22.75566802202358,22.548437769251,22.837673715890277,22.5472221020216,11.663441532631455,22.494668400427274,11.325589372891958,2175.476916490185 
