Time,BLOCK ROOM_3_F1 STOREY 0:DENVER_STAPLETON ANN HTG 99.6% CONDNS DB:Des Heat Load [W],BLOCK ROOM_3_F1 STOREY 0:DENVER_STAPLETON ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],BLOCK ROOM_3_F1 STOREY 0:DENVER_STAPLETON ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],BLOCK ROOM_3_F1 STOREY 0:DENVER_STAPLETON ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],BLOCK LIVING_1_F1 STOREY 0:DENVER_STAPLETON ANN HTG 99.6% CONDNS DB:Des Heat Load [W],BLOCK LIVING_1_F1 STOREY 0::Des Sens Cool Load [W],BLOCK LIVING_1_F1 STOREY 0:DENVER_STAPLETON ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],BLOCK LIVING_1_F1 STOREY 0::Des Cool Mass Flow [kg/s],BLOCK ROOM_1_F1 STOREY 0:DENVER_STAPLETON ANN HTG 99.6% CONDNS DB:Des Heat Load [W],BLOCK ROOM_1_F1 STOREY 0:DENVER_STAPLETON ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],BLOCK ROOM_1_F1 STOREY 0:DENVER_STAPLETON ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],BLOCK ROOM_1_F1 STOREY 0:DENVER_STAPLETON ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],BLOCK ROOM_2_F1 STOREY 0:DENVER_STAPLETON ANN HTG 99.6% CONDNS DB:Des Heat Load [W],BLOCK ROOM_2_F1 STOREY 0:DENVER_STAPLETON ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],BLOCK ROOM_2_F1 STOREY 0:DENVER_STAPLETON ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],BLOCK ROOM_2_F1 STOREY 0:DENVER_STAPLETON ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],BLOCK LIVING_2_F1 STOREY 0:DENVER_STAPLETON ANN HTG 99.6% CONDNS DB:Des Heat Load [W],BLOCK LIVING_2_F1 STOREY 0::Des Sens Cool Load [W],BLOCK LIVING_2_F1 STOREY 0:DENVER_STAPLETON ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],BLOCK LIVING_2_F1 STOREY 0::Des Cool Mass Flow [kg/s]
01:00:00,8.497336E+02,0.000000E+00,4.197144E-02,0.000000E+00,8.479418E+02,0.000000E+00,4.188294E-02,0.000000E+00,9.614489E+02,0.000000E+00,4.748948E-02,0.000000E+00,5.973321E+02,0.000000E+00,2.950442E-02,0.000000E+00,7.833535E+02,0.000000E+00,3.869269E-02,0.000000E+00
02:00:00,8.497337E+02,0.000000E+00,4.197145E-02,0.000000E+00,8.479421E+02,0.000000E+00,4.188296E-02,0.000000E+00,9.614499E+02,0.000000E+00,4.748952E-02,0.000000E+00,5.973334E+02,0.000000E+00,2.950448E-02,0.000000E+00,7.833558E+02,0.000000E+00,3.869281E-02,0.000000E+00
03:00:00,8.497339E+02,0.000000E+00,4.197146E-02,0.000000E+00,8.479424E+02,0.000000E+00,4.188297E-02,0.000000E+00,9.614509E+02,0.000000E+00,4.748957E-02,0.000000E+00,5.973345E+02,0.000000E+00,2.950454E-02,0.000000E+00,7.833581E+02,0.000000E+00,3.869292E-02,0.000000E+00
04:00:00,8.497340E+02,0.000000E+00,4.197147E-02,0.000000E+00,8.479426E+02,0.000000E+00,4.188298E-02,0.000000E+00,9.614518E+02,0.000000E+00,4.748962E-02,0.000000E+00,5.973357E+02,0.000000E+00,2.950459E-02,0.000000E+00,7.833603E+02,0.000000E+00,3.869303E-02,0.000000E+00
05:00:00,8.497342E+02,0.000000E+00,4.197147E-02,0.000000E+00,8.479429E+02,0.000000E+00,4.188300E-02,0.000000E+00,9.614526E+02,0.000000E+00,4.748966E-02,0.000000E+00,5.973367E+02,0.000000E+00,2.950464E-02,0.000000E+00,7.833623E+02,0.000000E+00,3.869313E-02,0.000000E+00
06:00:00,8.497343E+02,0.000000E+00,4.197148E-02,0.000000E+00,8.479431E+02,0.000000E+00,4.188301E-02,0.000000E+00,9.614535E+02,0.000000E+00,4.748970E-02,0.000000E+00,5.973377E+02,0.000000E+00,2.950469E-02,0.000000E+00,7.833643E+02,0.000000E+00,3.869322E-02,0.000000E+00
07:00:00,8.497344E+02,0.000000E+00,4.197149E-02,0.000000E+00,8.479433E+02,0.000000E+00,4.188302E-02,0.000000E+00,9.614542E+02,0.000000E+00,4.748974E-02,0.000000E+00,5.973387E+02,0.000000E+00,2.950474E-02,0.000000E+00,7.833661E+02,0.000000E+00,3.869331E-02,0.000000E+00
08:00:00,8.497345E+02,0.000000E+00,4.197149E-02,0.000000E+00,8.479436E+02,0.000000E+00,4.188303E-02,0.000000E+00,9.614550E+02,0.000000E+00,4.748977E-02,0.000000E+00,5.973396E+02,3.421581E+01,2.950478E-02,3.402693E-03,7.833679E+02,0.000000E+00,3.869340E-02,0.000000E+00
09:00:00,8.497346E+02,0.000000E+00,4.197150E-02,0.000000E+00,8.479438E+02,0.000000E+00,4.188304E-02,0.000000E+00,9.614557E+02,0.000000E+00,4.748981E-02,0.000000E+00,5.973405E+02,1.461158E+02,2.950483E-02,1.435684E-02,7.833696E+02,0.000000E+00,3.869349E-02,0.000000E+00
10:00:00,8.497347E+02,0.000000E+00,4.197150E-02,0.000000E+00,8.479440E+02,0.000000E+00,4.188305E-02,0.000000E+00,9.614563E+02,0.000000E+00,4.748984E-02,0.000000E+00,5.973413E+02,2.243694E+02,2.950487E-02,2.196318E-02,7.833712E+02,0.000000E+00,3.869356E-02,0.000000E+00
11:00:00,8.497348E+02,0.000000E+00,4.197151E-02,0.000000E+00,8.479441E+02,0.000000E+00,4.188306E-02,0.000000E+00,9.614570E+02,0.000000E+00,4.748987E-02,0.000000E+00,5.973421E+02,1.964552E+02,2.950491E-02,1.923070E-02,7.833727E+02,0.000000E+00,3.869364E-02,0.000000E+00
12:00:00,8.497349E+02,0.000000E+00,4.197151E-02,0.000000E+00,8.479443E+02,0.000000E+00,4.188307E-02,0.000000E+00,9.614576E+02,1.017507E+01,4.748990E-02,9.955535E-04,5.973428E+02,1.188148E+02,2.950494E-02,1.163060E-02,7.833741E+02,0.000000E+00,3.869371E-02,0.000000E+00
